Cluster : chi^2 : p-value
A0119 : 206.44 : 0.0
A0399 : 14.81 : 0.13900217558074823
A0400 : 232.04 : 0.0
A0401 : 477.41 : 0.0
A0576 : 3.4 : 0.9703108954415042
A0754 : 262.91 : 0.0
A1367 : 201.74 : 0.0
A1644 : 12.05 : 0.2818295742194239
A1650 : 15.12 : 0.1278579311109469
A1736 : 7.39 : 0.6878392200002225
A2065 : 1.42 : 0.9991695555552869
A2147 : 25.53 : 0.00443330623527971
A2163 : 97.83 : 1.1102230246251565e-16
A2255 : 106.56 : 0.0
A2256 : 100.57 : 0.0
A2634 : 67.88 : 1.1374934327790243e-10
A3158 : 221.55 : 0.0
A3266 : 312.29 : 0.0
A3376 : 29.1 : 0.0012018693730073693
A3391 : 122.13 : 0.0
A3395s : 6.81 : 0.7435879502982128
A3558 : 1115.35 : 0.0
A3562 : 500.38 : 0.0
A3667 : 579.99 : 0.0
COMA : 157.22 : 0.0
FORNAX : 33.09 : 0.00026267842823091136
IIIZw54 : 3.49 : 0.9673464235803937
MKW8 : 16.55 : 0.08501590546140869
ZwCl~1215 : 9.43 : 0.4922703685347627
3C~129 : 6.97 : 0.7285542485637344
A0548e : 216.0 : 0.0
A0548w : 5.0 : 0.8910326751312506
A1775 : 108.88 : 0.0
A1800 : 3.19 : 0.9765905813616893
A2319 : 440.42 : 0.0
A2734 : 105.05 : 0.0
A2877 : 9.93 : 0.4463348346100815
A3395n : 2.03 : 0.996115583607857
A3528n : 104.5 : 0.0
A3530 : 25.38 : 0.004673658918020629
A3532 : 109.77 : 0.0
A3560 : 12.87 : 0.2311168749371061
A3627 : 65.65 : 3.049530628018715e-10
A3695 : 3.61 : 0.9633896488863479
A3822 : 9.71 : 0.4662601231214363
A3827 : 2.47 : 0.9913737506440965
A3888 : 6.7 : 0.7530838790947427
A3921 : 117.09 : 0.0
IIZw~108 : 5.21 : 0.8764953999463173
OPHIUCHU : 180.92 : 0.0
RXJ2344 : 8.88 : 0.5439271424340764
S405 : 3.3 : 0.9735687784234894
S636 : 7.76 : 0.6524161085782032
TRIANGUL : 765.24 : 0.0
