Name,Total,Gas,Stellar
2A0335,3.127069e+12,8.230111e+10,7.008379e+11
A0085,1.456950e+13,6.099548e+11,1.764420e+12
A0119,1.073887e+14,7.407821e+12,5.849385e+12
A0133,4.962050e+12,1.099715e+11,9.245529e+11
A0262,2.138037e+12,2.546102e+10,5.578844e+11
A0399,1.297050e+14,7.634318e+12,6.551023e+12
A0400,1.040071e+13,3.140173e+11,1.441361e+12
A0401,6.824862e+13,3.605193e+12,4.456474e+12
A0478,2.335254e+13,1.365167e+12,2.341723e+12
A0496,3.283264e+12,4.879737e+10,7.216366e+11
A0576,7.154272e+13,3.496262e+12,4.584314e+12
A0754,8.220250e+13,2.324799e+12,4.982716e+12
A1060,1.012164e+13,1.601145e+11,1.418031e+12
A1367,5.173699e+13,3.267785e+12,3.774121e+12
A1644,4.454888e+13,3.125579e+12,3.450143e+12
A1650,6.065355e+13,3.678522e+12,4.151918e+12
A1651,3.992209e+13,2.571313e+12,3.230450e+12
A1736,3.884437e+13,2.908536e+12,3.177839e+12
A1795,1.527149e+13,5.645348e+11,1.814947e+12
A2029,2.300962e+13,9.294368e+11,2.321030e+12
A2052,3.141377e+12,5.745937e+10,7.027601e+11
A2063,1.243348e+13,5.398108e+11,1.604319e+12
A2065,2.367055e+14,1.901160e+13,9.398533e+12
A2142,4.356631e+13,2.389511e+12,3.404282e+12
A2147,2.828798e+13,1.031453e+12,2.627219e+12
A2163,3.006039e+14,2.695637e+13,1.084755e+13
A2199,2.043757e+13,8.866280e+11,2.161686e+12
A2204,1.578969e+13,6.294598e+11,1.851651e+12
A2244,2.949485e+13,9.613037e+11,2.693908e+12
A2255,1.777702e+14,1.364733e+13,7.914992e+12
A2256,2.203103e+14,1.777640e+13,9.002351e+12
A2589,1.424686e+13,5.022179e+11,1.740871e+12
A2597,7.111648e+12,2.711758e+11,1.147406e+12
A2634,4.719242e+13,4.648280e+12,3.571564e+12
A2657,1.340333e+13,3.856798e+11,1.678273e+12
A3112,9.041477e+12,3.342945e+11,1.325192e+12
A3158,5.596304e+13,2.974587e+12,3.956178e+12
A3266,1.892658e+14,1.827590e+13,8.218231e+12
A3376,1.870982e+14,1.329768e+13,8.161629e+12
A3391,4.228229e+13,2.300779e+12,3.343722e+12
A3395s,1.530187e+14,9.388963e+12,7.234055e+12
A3526,3.690149e+12,4.086871e+10,7.740365e+11
A3558,3.894796e+13,2.128884e+12,3.182921e+12
A3562,1.306794e+13,2.443062e+11,1.652949e+12
A3571,4.191576e+13,2.640835e+12,3.326301e+12
A3581,1.904181e+12,2.950298e+10,5.204272e+11
A3667,5.784805e+13,3.067068e+12,4.035602e+12
A4038,5.411592e+12,1.244134e+11,9.739353e+11
A4059,1.162749e+13,3.467153e+11,1.541085e+12
COMA,1.029213e+14,4.818363e+12,5.702145e+12
EXO0422,1.627844e+13,7.203486e+11,1.885831e+12
FORNAX,9.138451e+12,1.686885e+11,1.333701e+12
HYDRA-A,5.960702e+12,1.875982e+11,1.032080e+12
IIIZw54,3.031548e+13,1.659378e+12,2.738632e+12
MKW3S,7.348138e+12,2.266177e+11,1.170150e+12
MKW4,4.531382e+11,1.776033e+09,2.199244e+11
MKW8,9.756900e+12,1.351195e+11,1.387146e+12
NGC~1550,1.951855e+12,2.900356e+10,5.282063e+11
NGC~4636,1.225845e+11,1.604079e+08,1.003683e+11
NGC~5044,3.376735e+11,1.986862e+09,1.843458e+11
NGC~507,5.819643e+11,3.626389e+09,2.555482e+11
S1101,5.772634e+12,1.938833e+11,1.012417e+12
ZwCl~1215,1.078412e+14,7.752124e+12,5.864161e+12
