Name,T_{h},L_{X},M_{500},r_{500},f_{gas},"M_{gas,500}",L_{nir}
2A0335,3.64,4.64,2.79,1.2,0.19,5.42,3.44
A0085,6.51,9.67,8.08,1.68,0.21,16.66,5.99
A0119,5.69,3.34,8.98,1.76,0.15,13.24,6.46
A0133,3.97,2.85,4.3,1.36,0.14,6.01,3.72
A0262,2.25,0.98,0.94,0.85,0.21,1.93,2.07
A0399,6.46,7.13,7.74,1.63,0.19,14.79,--
A0400,2.43,0.65,1.33,0.95,0.16,2.11,2.34
A0401,7.19,12.41,8.38,1.67,0.25,20.55,--
A0478,6.91,17.44,8.85,1.68,0.22,19.1,7.96
A0496,4.59,3.77,4.81,1.44,0.16,7.77,3.91
A0576,3.83,1.86,4.61,1.42,0.12,5.43,4.62
A0754,9,3.97,13.86,2.02,0.1,13.25,9.28
A1060,3.15,0.56,2.5,1.19,0.09,2.19,2.39
A1367,3.55,1.2,7.42,1.69,0.09,6.39,3.81
A1644,4.7,3.92,7.34,1.64,0.17,12.53,5.82
A1650,5.68,7.33,6.53,1.52,0.19,12.22,3.09
A1651,6.22,7.85,8.29,1.65,0.17,14.38,7.82
A1736,3.68,3.22,2.17,1.09,0.25,5.33,5.28
A1795,6.17,10,9.87,1.79,0.15,14.51,4.8
A2029,7.93,17.07,9.95,1.77,0.21,20.92,8.12
A2052,3.12,2.37,2.7,1.19,0.16,4.31,3.22
A2063,3.56,2.26,2.36,1.14,0.19,4.44,3.5
A2065,5.37,5.63,11.19,1.84,0.12,13.68,7.33
A2142,8.46,21.05,14.33,1.97,0.22,31.94,7.2
A2147,4.34,2.87,2.31,1.13,0.26,5.93,4.15
A2163,10.55,32.16,16,1.85,0.27,43.75,--
A2199,4.28,4.2,4.29,1.39,0.17,7.35,4.43
A2204,6.38,25.89,5.82,1.38,0.29,16.85,--
A2244,5.77,8.3,5.48,1.42,0.21,11.52,--
A2255,5.92,5.46,7.86,1.63,0.19,14.66,8.7
A2256,6.83,9.24,12.12,1.91,0.18,21.78,10.11
A2589,3.38,1.87,3.24,1.26,0.15,4.76,2.51
A2597,4.2,6.75,3.71,1.26,0.17,6.48,--
A2634,3.45,0.99,4.51,1.42,0.11,5.1,4.53
A2657,3.53,1.74,6.06,1.55,0.1,6.26,2.35
A3112,4.72,7.32,4.36,1.34,0.2,8.87,4.11
A3158,5.41,5.61,5.75,1.49,0.2,11.63,6.76
A3266,7.72,8.62,19.24,2.23,0.14,27.35,7.79
A3376,4.43,2.16,6.77,1.6,0.13,8.7,3.81
A3391,5.89,2.64,6.04,1.53,0.14,8.63,5.84
A3395s,5.55,2.12,9.48,1.78,0.1,9.39,5.61
A3526,3.69,1.19,3.41,1.32,0.11,3.83,3.66
