Name,z,T_{m}keV,\beta,r_{c}kpc,n_{center}10-2cm-3,t_{cool}1010yr,\dot{M}M_{\odot}/yr
3C129,0.0223,5.60^{+0.70}_{-0.60},0.601^{+0.260}_{-0.131},318^{+178}_{-107},0.18^{+0.07}_{-0.04},4.71^{+1.62}_{-1.39},0^{+0}_{-0}
A0539,0.0288,3.24^{+0.09}_{-0.09},0.561^{+0.020}_{-0.018},147^{+13}_{-12},0.72^{+0.12}_{-0.09},0.84^{+0.13}_{-0.12},3^{+1}_{-1}
A0548e,0.041,3.10^{+0.10}_{-0.10},0.480^{+0.013}_{-0.013},118^{+12}_{-11},0.28^{+0.02}_{-0.01},2.09^{+0.11}_{-0.12},0^{+0}_{-0}
A0548w,0.0424,1.20^{+0.19}_{-0.17},0.666^{+0.194}_{-0.111},198^{+89}_{-61},0.10^{+0.03}_{-0.02},2.28^{+0.67}_{-0.59},0^{+0}_{-0}
A0644,0.0704,7.10^{+0.60}_{-0.60},0.700^{+0.011}_{-0.011},202^{+6}_{-6},0.78^{+0.01}_{-0.01},1.18^{+0.08}_{-0.08},16^{+29}_{-15}
A1413,0.1427,7.32^{+0.26}_{-0.24},0.660^{+0.017}_{-0.015},178^{+12}_{-11},1.24^{+0.07}_{-0.07},0.72^{+0.05}_{-0.04},190^{+40}_{-32}
A1689,0.184,9.23^{+0.28}_{-0.28},0.690^{+0.011}_{-0.011},162^{+6}_{-6},2.12^{+0.18}_{-0.18},0.47^{+0.04}_{-0.04},683^{+239}_{-182}
A1775,0.0757,3.69^{+0.20}_{-0.11},0.673^{+0.026}_{-0.023},259^{+19}_{-17},0.30^{+0.05}_{-0.04},2.16^{+0.36}_{-0.28},0^{+0}_{-0}
A1800,0.0748,4.02^{+0.64}_{-0.56},0.766^{+0.308}_{-0.139},391^{+223}_{-131},0.18^{+0.07}_{-0.04},3.65^{+1.14}_{-1.07},0^{+0}_{-0}
A1914,0.1712,10.53^{+0.51}_{-0.50},0.751^{+0.018}_{-0.017},230^{+10}_{-10},1.12^{+0.03}_{-0.03},0.97^{+0.04}_{-0.04},180^{+50}_{-40}
A2151w,0.0369,2.40^{+0.06}_{-0.06},0.564^{+0.014}_{-0.013},68^{+5}_{-4},0.82^{+0.04}_{-0.03},0.60^{+0.03}_{-0.03},30^{+3}_{-3}
A2319,0.0564,9.20^{+0.70}_{-0.70},0.591^{+0.013}_{-0.012},284^{+14}_{-13},0.51^{+0.05}_{-0.05},2.10^{+0.24}_{-0.21},0^{+0}_{-0}
A2734,0.062,3.85^{+0.62}_{-0.54},0.624^{+0.034}_{-0.029},211^{+26}_{-23},0.32^{+0.02}_{-0.02},2.04^{+0.28}_{-0.27},0^{+0}_{-0}
A2877,0.0241,3.50^{+2.20}_{-1.10},0.566^{+0.029}_{-0.025},189^{+18}_{-16},0.19^{+0.02}_{-0.02},3.33^{+1.60}_{-0.95},0^{+0}_{-0}
A3395n,0.0498,4.80^{+0.40}_{-0.40},0.981^{+0.619}_{-0.244},672^{+383}_{-203},0.10^{+0.04}_{-0.02},7.33^{+2.40}_{-2.03},0^{+0}_{-0}
A3528n,0.054,3.40^{+1.66}_{-0.64},0.621^{+0.034}_{-0.030},177^{+16}_{-15},0.34^{+0.02}_{-0.02},1.81^{+0.61}_{-0.28},0^{+0}_{-0}
A3528s,0.0551,3.15^{+0.89}_{-0.59},0.463^{+0.013}_{-0.012},100^{+8}_{-8},0.48^{+0.03}_{-0.02},1.21^{+0.26}_{-0.19},1^{+11}_{-1}
A3530,0.0544,3.89^{+0.27}_{-0.25},0.773^{+0.114}_{-0.085},420^{+74}_{-61},0.13^{+0.01}_{-0.01},5.27^{+0.61}_{-0.56},0^{+0}_{-0}
A3532,0.0539,4.58^{+0.19}_{-0.17},0.653^{+0.034}_{-0.029},281^{+26}_{-24},0.30^{+0.06}_{-0.05},2.42^{+0.50}_{-0.38},0^{+0}_{-0}
A3560,0.0495,3.16^{+0.51}_{-0.44},0.566^{+0.033}_{-0.029},255^{+30}_{-27},0.17^{+0.01}_{-0.01},3.47^{+0.51}_{-0.46},0^{+0}_{-0}
A3627,0.0163,6.02^{+0.08}_{-0.08},0.555^{+0.056}_{-0.044},299^{+56}_{-49},0.19^{+0.02}_{-0.02},4.51^{+0.44}_{-0.45},0^{+0}_{-0}
A3695,0.089,5.29^{+0.85}_{-0.74},0.642^{+0.259}_{-0.117},398^{+253}_{-149},0.20^{+0.08}_{-0.05},3.82^{+1.27}_{-1.12},0^{+0}_{-0}
A3822,0.076,4.90^{+0.78}_{-0.69},0.639^{+0.150}_{-0.093},350^{+159}_{-111},0.21^{+0.05}_{-0.03},3.60^{+0.83}_{-0.86},0^{+0}_{-0}
A3827,0.098,7.08^{+1.13}_{-0.99},0.989^{+0.410}_{-0.192},593^{+247}_{-148},0.26^{+0.06}_{-0.05},3.43^{+0.86}_{-0.72},0^{+0}_{-0}
