Name	z	$T_{\rm m}$ (keV)	$\beta $	$r_{\rm c}$ (kpc)	$n_{\rm center}$ (10-2 cm-3)	$t_{\rm cool}$ (1010 yr)	$\dot{M}$ ($M_{\odot }$/yr)
2A0335	0.0349	$^d\rm 3.01^{+ 0.07}_{- 0.07 }$	$\rm0.575^{+ 0.004}_{- 0.003 }$	$\rm 33^{+ 0}_{- 0 }$	$\rm 5.47^{+ 0.06}_{- 0.06 }$	$\rm0.10^{+ 0.00}_{- 0.00 }$	$\rm 360^{+ 20}_{- 17 }$
A0085	0.0556	$^a\rm 6.10^{+ 0.20}_{- 0.20 }$	$\rm0.532^{+ 0.004}_{- 0.004 }$	$\rm 82^{+ 3}_{- 3 }$	$\rm 2.57^{+ 0.10}_{- 0.10 }$	$\rm0.33^{+ 0.02}_{- 0.02 }$	$\rm 200^{+ 33}_{- 27 }$
A0119	0.0440	$^a\rm 5.80^{+ 0.60}_{- 0.60 }$	$\rm0.675^{+ 0.026}_{- 0.023 }$	$\rm 501^{+ 27}_{- 26 }$	$\rm0.15^{+ 0.01}_{- 0.01 }$	$\rm 5.49^{+ 0.63}_{- 0.58 }$	$\rm0^{+ 0}_{- 0 }$
A0133	0.0569	$^c\rm 3.80^{+ 2.00}_{- 0.90 }$	$\rm0.530^{+ 0.004}_{- 0.004 }$	$\rm 45^{+ 1}_{- 1 }$	$\rm 2.80^{+ 0.08}_{- 0.08 }$	$\rm0.23^{+ 0.09}_{- 0.04 }$	$\rm 108^{+ 55}_{- 51 }$
A0262	0.0161	$^d\rm 2.15^{+ 0.06}_{- 0.06 }$	$\rm0.443^{+ 0.018}_{- 0.017 }$	$\rm 41^{+ 11}_{- 9 }$	$\rm0.81^{+ 0.13}_{- 0.09 }$	$\rm0.56^{+ 0.07}_{- 0.08 }$	$\rm 14^{+ 4}_{- 4 }$
A0399	0.0715	$^a\rm 7.40^{+ 0.70}_{- 0.70 }$	$\rm0.713^{+ 0.137}_{- 0.095 }$	$\rm 449^{+ 131}_{- 99 }$	$\rm0.22^{+ 0.04}_{- 0.03 }$	$\rm 4.32^{+ 0.78}_{- 0.70 }$	$\rm0^{+ 0}_{- 0 }$
A0400	0.0240	$^d\rm 2.31^{+ 0.14}_{- 0.14 }$	$\rm0.534^{+ 0.014}_{- 0.013 }$	$\rm 154^{+ 9}_{- 8 }$	$\rm0.20^{+ 0.01}_{- 0.01 }$	$\rm 2.39^{+ 0.13}_{- 0.12 }$	$\rm0^{+ 0}_{- 0 }$
A0401	0.0748	$^a\rm 8.30^{+ 0.50}_{- 0.50 }$	$\rm0.613^{+ 0.010}_{- 0.010 }$	$\rm 245^{+ 11}_{- 10 }$	$\rm0.60^{+ 0.05}_{- 0.04 }$	$\rm 1.67^{+ 0.15}_{- 0.14 }$	$\rm0^{+ 0}_{- 0 }$
A0478	0.0900	$^a\rm 7.10^{+ 0.40}_{- 0.40 }$	$\rm0.613^{+ 0.004}_{- 0.004 }$	$\rm 98^{+ 2}_{- 2 }$	$\rm 3.55^{+ 0.15}_{- 0.14 }$	$\rm0.26^{+ 0.02}_{- 0.02 }$	$\rm 645^{+ 137}_{- 113 }$
A0496	0.0328	$^d\rm 4.13^{+ 0.08}_{- 0.08 }$	$\rm0.484^{+ 0.003}_{- 0.003 }$	$\rm 30^{+ 1}_{- 1 }$	$\rm 4.07^{+ 0.29}_{- 0.26 }$	$\rm0.17^{+ 0.01}_{- 0.01 }$	$\rm 114^{+ 35}_{- 28 }$
A0576	0.0381	$^b\rm 4.02^{+ 0.07}_{- 0.07 }$	$\rm0.825^{+ 0.432}_{- 0.185 }$	$\rm 394^{+ 221}_{- 125 }$	$\rm0.16^{+ 0.06}_{- 0.04 }$	$\rm 4.27^{+ 1.22}_{- 1.09 }$	$\rm0^{+ 0}_{- 0 }$
A0754	0.0528	$^a\rm 9.00^{+ 0.50}_{- 0.50 }$	$\rm0.698^{+ 0.027}_{- 0.024 }$	$\rm 239^{+ 17}_{- 16 }$	$\rm0.44^{+ 0.02}_{- 0.02 }$	$\rm 2.41^{+ 0.13}_{- 0.13 }$	$\rm0^{+ 0}_{- 0 }$
A1060	0.0114	$^d\rm 3.24^{+ 0.06}_{- 0.06 }$	$\rm0.607^{+ 0.040}_{- 0.034 }$	$\rm 94^{+ 15}_{- 12 }$	$\rm0.47^{+ 0.04}_{- 0.04 }$	$\rm 1.29^{+ 0.11}_{- 0.11 }$	$\rm0^{+ 0}_{- 0 }$
A1367	0.0216	$^d\rm 3.55^{+ 0.08}_{- 0.08 }$	$\rm0.695^{+ 0.035}_{- 0.032 }$	$\rm 383^{+ 24}_{- 22 }$	$\rm0.15^{+ 0.01}_{- 0.01 }$	$\rm 4.29^{+ 0.22}_{- 0.21 }$	$\rm0^{+ 0}_{- 0 }$
A1644	0.0474	$\rm 4.70^{+ 0.90}_{- 0.70 }$	$\rm0.579^{+ 0.111}_{- 0.074 }$	$\rm 299^{+ 127}_{- 92 }$	$\rm0.28^{+ 0.08}_{- 0.06 }$	$\rm 2.65^{+ 0.96}_{- 0.67 }$	$\rm0^{+ 0}_{- 0 }$
A1650	0.0845	$^a\rm 5.60^{+ 0.60}_{- 0.60 }$	$\rm0.704^{+ 0.131}_{- 0.081 }$	$\rm 281^{+ 104}_{- 70 }$	$\rm0.43^{+ 0.09}_{- 0.06 }$	$\rm 1.87^{+ 0.33}_{- 0.36 }$	$\rm0^{+ 0}_{- 0 }$
A1651	0.0860	$^a\rm 6.30^{+ 0.50}_{- 0.50 }$	$\rm0.643^{+ 0.014}_{- 0.013 }$	$\rm 180^{+ 9}_{- 9 }$	$\rm 1.10^{+ 0.07}_{- 0.07 }$	$\rm0.78^{+ 0.07}_{- 0.07 }$	$\rm 81^{+ 30}_{- 23 }$
A1736	0.0461	$^a\rm 3.50^{+ 0.40}_{- 0.40 }$	$\rm0.542^{+ 0.147}_{- 0.092 }$	$\rm 374^{+ 177}_{- 129 }$	$\rm0.13^{+ 0.04}_{- 0.02 }$	$\rm 4.92^{+ 1.27}_{- 1.28 }$	$\rm0^{+ 0}_{- 0 }$
A1795	0.0616	$^a\rm 6.00^{+ 0.30}_{- 0.30 }$	$\rm0.596^{+ 0.003}_{- 0.002 }$	$\rm 78^{+ 1}_{- 1 }$	$\rm 2.88^{+ 0.05}_{- 0.05 }$	$\rm0.29^{+ 0.01}_{- 0.01 }$	$\rm 399^{+ 47}_{- 39 }$
A2029	0.0767	$^a\rm 8.70^{+ 0.30}_{- 0.30 }$	$\rm0.582^{+ 0.004}_{- 0.004 }$	$\rm 83^{+ 2}_{- 2 }$	$\rm 3.90^{+ 0.15}_{- 0.15 }$	$\rm0.26^{+ 0.01}_{- 0.01 }$	$\rm 514^{+ 93}_{- 78 }$
A2052	0.0348	$^b\rm 3.03^{+ 0.04}_{- 0.04 }$	$\rm0.526^{+ 0.005}_{- 0.005 }$	$\rm 36^{+ 1}_{- 1 }$	$\rm 2.85^{+ 0.66}_{- 0.62 }$	$\rm0.20^{+ 0.06}_{- 0.04 }$	$\rm 108^{+ 188}_{- 49 }$
A2063	0.0354	$^d\rm 3.68^{+ 0.11}_{- 0.11 }$	$\rm0.561^{+ 0.011}_{- 0.011 }$	$\rm 110^{+ 6}_{- 6 }$	$\rm0.96^{+ 0.00}_{- 0.00 }$	$\rm0.67^{+ 0.02}_{- 0.02 }$	$\rm 21^{+ 2}_{- 2 }$
A2065	0.0721	$^a\rm 5.40^{+ 0.30}_{- 0.30 }$	$\rm 1.162^{+ 0.734}_{- 0.282 }$	$\rm 689^{+ 360}_{- 186 }$	$\rm0.20^{+ 0.07}_{- 0.04 }$	$\rm 3.99^{+ 1.15}_{- 1.04 }$	$\rm0^{+ 0}_{- 0 }$
A2142	0.0899	$^a\rm 8.80^{+ 0.60}_{- 0.60 }$	$\rm0.591^{+ 0.006}_{- 0.006 }$	$\rm 153^{+ 5}_{- 5 }$	$\rm 1.61^{+ 0.07}_{- 0.07 }$	$\rm0.64^{+ 0.04}_{- 0.04 }$	$\rm 337^{+ 82}_{- 61 }$
